label	text_a
positive	人与狼的友情，以小男孩荒野求生为故事主线
positive	嘻嘻，可是豆子那么小，要演出气场来，还真是费力吧……
positive	。。。很有娱乐精神。。。不过貌似结局是：他们只是为了骗那个有钱人把土地捐给教堂吧。
positive	其实蛮有意思的~但是不晓得找的到片尾曲不~蛮搞笑的~花妈的嘴里经常哼哼的歌也蛮罗的~
positive	去年某天夜里趴在被子里看完  那首歌我听了好多遍  试图去喜欢那个真实世界里的姑娘
positive	自行车就是这么有魅力 不到终点我是不会放弃的
positive	虽然美式痕迹非常重，但是最近最舒服的国片就他了
positive	被各种影评一忽悠果然觉得毁三观崩下限，无节操的恶趣味，恐怖片版的东成西就的样子
positive	三位重量级的演员，一位重量级的导演，一部重量级的经典影片。此情只待追忆
positive	我还以为男主是夏雨哈哈哈好像  故事情节还不错
positive	剧本太赞了，警句不断，简练文雅。一切都那么精致考究，茶杯里的风波。
positive	很喜欢里面彭于晏和王珞丹这对情侣，很帅很漂亮很配，最感人的是他们的爱情
positive	值得深思，突然让人想去探索非洲那片神秘大地
positive	这集到最后看的好伤感，那个别针也好伤感，呜呜，伤感的波罗和我。。
positive	我说了所有的谎，你也都相信了，现在天亮了。
positive	我非常想知道，韩国人的身份证是没有照片的么？结婚也可以不用出示任何带照片的证件么？
positive	意识形态过重，但是战争下人民真的是苦。是主的惩罚吗？
positive	女主我大爱！！！！！《锦绣佳人》的可爱善良小茉莉！
positive	马里奥当年的青涩模样~艺术来源于生活，一切都好有泰国特色~
positive	老爸从我小的时候就说的电影，多年后有幸看了。
negative	为了莉的颜，颜狗用爱发电，什么狗屎电影，硬啃啃完……
negative	我对该剧组的化妆师觉得很好奇。一定要那么厚的粉？那么不自然的腮红？明明有些场景很漂亮。苦了那小花店~
negative	被央视点名批评粗俗暴力的动画片为什么每年还能大张旗鼓的登陆国内院线 把领导的话当放屁了么
negative	我一点儿没看出来她的智谋 全部的事情只有华星汉去布置而已 她只负责享受成果
negative	对于看过恐怖游轮的我来说。。。就无悬念了。而且不讲粤语。。好奇怪
negative	没什么可解释的。豆瓣上综合评分2.6解释了一切。
negative	可以说很无聊了，节奏太拖拉了。而且没有想到那么早期就有这么丧的电影。弁士的配音还是很出戏的。。
negative	刚开场以为是科幻片，看到一半发现时喜剧片，结尾恍然大悟，原来这是海飞丝宣传片！
negative	乔黑拍的咩，只是片子看了两周了，我几乎无法说出其中的某段情节。。。
negative	我想我的欣赏水平实在有限，，，一部电影就两个人在这说话还不如去看脱口秀。
negative	只有行动，没有动机。不给钱的情况下杀这么多人，你是杀手集团做活动吗？
negative	被这部电影的人生观、世界观和变态观折服。。。青霞姐姐还是很漂亮的～
negative	此團伙已被商業二字坑得萬劫不復。我承認我今天真的是閒的。
negative	动物园探险记？好像看到动物也不多！真是前所未有看到的最烂的片。还是个大场，满场。唉。
negative	前面还真不错 越到后面越没有重点 就不行了 开始乱闹了。
negative	片子比较长，很多前戏并没有意义，高潮部分让人不明就里。
negative	虽然片子口碑不怎么样，但可能是觉得自己回不去了，看到电影中疯狂的他们，觉得很羡慕。
negative	美国网红成名记。奥布里·皮普尔斯真的好美！这才是真正的网红脸啊！
negative	第一次看印尼的电影，还是冲着苍老师去的。至于片子本身，不提也罢
negative	小时候看过的 快忘了.....只记得内女的一直跳一直勾引....
negative	两星半；成龙的滑稽样板戏，有几个用大摇臂交待环境的镜头尚可，打斗戏比他好的作品要弱不少
negative	个人拒斥该片以及跟此片有关系的参考片。牛逼就牛逼吧，不是一路人。
negative	个人对这种唠唠叨叨的嘻哈、口水、话唠剧厌恶，吵吵闹闹的头都快裂了。
negative	故事说了一半不到，演员演了一半不到，搞毛。裘德洛哈哈哈哈逃得了岁月喵。
negative	把猩猩换成任何一个相对落后的民族、部落、国家都行
negative	小学时候觉得可好看了呢！【600就给了这部电影我擦】
negative	原来长江7号是从这里出来的啊，不过也太恶搞了点吧，小鱼儿居然和花无缺结婚了～～～～～
negative	情节拖沓冗长 爱情发生的太突兀 结局很奇怪
negative	輕小說版本都已經是垃圾了，電影版又能好到哪去？台片沒救...
negative	完全是政治宣傳，也拍不出原作的嬉笑怒罵。
negative	我竟然看过这部电影，啊哈哈哈哈哈，烂到无可救药，我已然无力吐槽了！
negative	零分不能更多了。浪费两小时看了一群高颜值无病呻吟。
negative	我还真不知道就这么见了两次面,就确定是爱了
negative	高超的表演和藝指和配樂。如果能有一絲高潮多好。
negative	生活环境非常像我小时候 但是全片过于松散 无法体会到到底想表达什么
negative	男主和女主的感情发展得太不寻常了。很多剧情都莫名其妙。
negative	为什么要给小王子安排结局。无语。降低了小王子的格调
negative	又是真实改编逃生电影。看多了总觉得没什么意思了。
negative	能欣赏这片子的当是艺术细菌很丰盛的人，什么生命力啦，什么隐喻啦，我不行，我只看到“神经病”···
negative	刘德华那会儿还是小崽儿，陈慧敏好容易导演一次还不拼命美化自己啊
negative	连看三部大姨妈片,心情抑郁的时候需要这样的爆米花能量！主角丑，剧情烂…可是，好适合现在的心情
negative	也许是我不懂浪漫，可是看到男猪脚一副懵懂的深情样就觉得丫好欠揍啊
negative	这片儿就像三眼怪的那一身鼻涕一样，欧麦嘎！
negative	开场第一个镜头就奠定了烂片气质，跟拍桂纶镁一张了无生趣的脸好几分钟，不知道的还以为是蔡明亮的艺术片。
negative	女主角长得太像阿娇了 男主演技很一般。。。剧情很狗血
negative	开篇还是蛮吸引人的，但剧情铺太开了，收不回来，后面一地硬伤。
negative	真是没有最难看只有更难看，这也叫电影？还有金头发的女的你这么丑还出来吓人，我也是醉了
negative	最糙最滥最糟蹋“残酷青春”这四个字的电影。
negative	韩国全国都是棋神最后还是被中国萝莉打败了···
negative	真无聊，只记得尖叫，恐怖片非恐怖，116分钟
negative	我第一次，看电影。开始，不包场。到中间，包场了。
negative	怪侠里的马天宇和这个一比 进步神速啊。。慢慢来 小子
negative	国际章第一部电影～17岁也可以一点都不土的噢
negative	不公平地讲 我就是不喜欢。电影里只批判制度，只批判不公平，人物脸谱化，没有人性。
negative	不用看就知道很傻逼。。。广电总局能为小朋友的未来想想么，非要审美异常都教成弱智么。。。
negative	看在子华老师的份上 给个两星大家高兴一下
negative	影响了之后的很多版西游记，我敢打赌杨洁拍86央视版之前仔细研习过邵氏的这套。
negative	硬笑的感觉，功夫+食神的网大版。。只学到了周星驰的形式没学到人家的魂儿，还是歇了吧
