id,text,label
1,牛逼啊，这是我见过断肢血腥类道具最假的片子，剧情也烂得一批,negative
2,什么跟什么啊。。。这破剧情 这破翻译！！,negative
3,就看了南笙的一段，但为啥把台湾的模式强加在内地？怪怪的。,negative
4,其实也不是说差，主要没看过这种风格，不太习惯,negative
5,看到一半多就不想看了····只怪话题太沉重，我内心太幼小,negative
6,最讨厌配音的电视电影了，特别是港剧，还是原汁原味的爽。王晶的电影越来越在秀水平下限了。,negative
7,批判的东西太多，看的不知道它到底要讲啥？社会的黑暗，金钱至上，艾滋病的可怜，太乱太杂了,negative
8,带头大哥丹泽尔华盛顿忽悠了几位莫名其妙的亡命徒帮他复仇的故事……这个版本比起60版提鞋都不配。差评！,negative
9,跟大眼的小说一样，比较生硬夸张，自嗨严重,negative
10,滤镜挺好，包贝尔演得不算差吧。很难放下对包贝尔的成见客观看待这部电影。,negative
11,故事略狗血俗套，人物的矛盾设计也颇不合情理，唯独原声好好听！,negative
12,这么中二的故事就让它存在于文学和漫画就好。白富美身材真好！亮亮也是不容易。总之大家都不容易。,negative
13,..............为毛石像鬼竟然是天使啊,negative
14,小时候看不懂还以为是我鉴赏能力有问题，原来就是烂,negative
15,看完此片我严重怀疑我的智商……这么无聊的片子到底是要干吗……,negative
16,明知烂而专登搵嚟睇 | 睇到后面都要靠拉进度条了,negative
17,。最美地方 不是去过的地方 而是身边；不正常的未必是不合适的；把照片放冰箱里。,negative
18,恋爱中的男孩总是会莫名其妙的花冤枉钱去看这种莫名其妙的电影的,negative
19,周润发越来越接近黄晓明。王晶挑外围女的眼光一直都不赖,negative
20,一开始就注定悲剧的狗血剧。比第二部好很多很多，但是依旧是一部失败的电影。,negative
21,为了莉的颜，颜狗用爱发电，什么狗屎电影，硬啃啃完……,negative
22,我对该剧组的化妆师觉得很好奇。一定要那么厚的粉？那么不自然的腮红？明明有些场景很漂亮。苦了那小花店~,negative
23,被央视点名批评粗俗暴力的动画片为什么每年还能大张旗鼓的登陆国内院线 把领导的话当放屁了么,negative
24,我一点儿没看出来她的智谋 全部的事情只有华星汉去布置而已 她只负责享受成果,negative
